name,to
"Винница", "в Винницу"
"Днепропетровск", "в Днепропетровск"
"Донецк",         "в Донецк"
"Житомир",        "в Житомир"
"Запорожье",      "в Запорожье"
"Ивано-Франковск","в Ивано-Франковск"
"Киев",           "в Киев"
"Кировоград",     "в Кировоград"
"Луганск",        "в Луганск"
"Луцк",           "в Луцк"
"Львов",          "в Львов"
"Николаев",       "в Николаев"
"Одесса",         "в Одессу"
"Полтава",        "в Полтаву"
"Ровно","в Ровно"
"Симферополь","в Симферополь"
"Сумы","в Сумы"
"Тернополь","в Тернополь"
"Ужгород","в Ужгород"
"Харьков","в Харьков"
"Херсон","в Херсон"
"Хмельницкий","в Хмельницкий"
"Черкассы","в Черкассы"
"Чернигов","в Чернигов"
"Черновцы","в Черновцы"
